naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Inscriptie","1986","Onbekend","Steenstraat",51.8490045,5.86692599,"De tekst is geschreven door prof. dr. J.E. Bogaers en is vormgegeven door ir. G.G.L.M. Cremers.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=402"
"Het zesde zintuig","1987","Jerome Symons","Burchtstraat (patiotuin stadhuis)",51.8466369,5.86541223,"Het hardstenen kunstwerk in de binnentuin van het stadhuis bestaat uit vijf aan elkaar bevestigde zuiltjes en een losstaand element. We hebben vijf zintuigen: het gehoor, het gezicht, de smaak, de reuk en de tast. Veelal worden zij gepersonifieerd door vrouwen- of dierfiguren. Hier zijn het vrij eenvoudige zuiltjes uit hardsteen. Is dit de objectiviteit die de ambtenaar als zesde zintuig moet bezitten? Jerome Symons heeft hier in ieder geval de vrijheid genomen er een zesde zintuig aan toe te voegen, dat losstaat van onze vijf bekende zintuigen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=406"
"Afsluitpaal","1987","Jerome Symons","Grote Markt/Sint Stevenskerkhof",51.8477204,5.86338716,"In september 1986 schakelde de gemeente Nijmegen kunstenaars in om 'verkeerspaaltjes' te ontwerpen. Dit gebeurde naar een idee uit Maastricht. Er werden  plaatsen uitgezocht waar een zo'n 50 centimeter hoog paaltje moest komen te staan. Vervolgens werd in eerste instantie aan de kunstenaars Oscar Goedhart, Peter van de Locht en Giuseppe Roverso gevraagd om een ontwerp te leveren. Dit was de start van een traditie. Deze afsluitpaal maakt daar onderdeel van uit.  

Jerome Symons was ook een van de ontwerpers. Hij maakte een granieten paaltje aan de rand van de Grote Markt. Het werd een een paaltje met oren, wat zou de kunstenaar daarmee bedoeld hebben? 'Kleine potjes hebben grote oren' is bijvoorbeeld een spreekwoord dat je hier te binnen zou kunnen schieten. Maar onze taal kent vele spreekwoorden en zegswijzen waarin 'oren' een rol spelen. Dit paaltje hoort van alles, maar vertelt niets door. Verdwijnt alles wat hier gedacht en gezegd wordt in de doofpot? Wie zal het zeggen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=407"
"Afsluitpaal","1987","Ed van Teeseling","Achter de Vismarkt/Lutherse Plaats",51.8494241,5.86389270,"In september 1986 schakelde de gemeente Nijmegen kunstenaars in om 'verkeerspaaltjes' te ontwerpen. Dit gebeurde naar aanleiding van een dergelijk project in Maastricht. Er werden  plaatsen uitgezocht waar de 50 centimeter hoge afsluitpaaltje moesten komen te staan. Vervolgens werden de kunstenaars Oscar Goedhart, Peter van de Locht en Giuseppe Roverso gevraagd om aan de slag te gaan. Dit werd de start van een lange traditie. Deze afsluitpaal maakt daar onderdeel van uit. 

Het paaltje van Ed van Teeseling heeft een golvende vorm, die aan lichaamsvormen doet denken. Het ziet er ondanks het harde materiaal rond, zacht en organisch uit. In de opdracht werd het materiaal verplichtend meegegeven: het moesten paaltjes worden van graniet of hardsteen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=408"
"Afsluitpaal 'Habakuk'","1987","Klaus van de Locht","Noorderkerktrappen",51.848372,5.862024,"Op tien verschillende plaatsen in Nijmegen worden straatjes en steegjes afgesloten met kleine afsluitpalen, die zijn ontworpen door verschillende kunstenaars. Eén van die paaltjes bevindt zich aan de Noorderkerktrappen en is gemaakt door de kunstenaar Klaus van de Locht. Het is getiteld Habakuk.

Habakuk is een bijbels geschrift dat onderdeel uitmaakt van het Oude Testament. De betekenis van Habakuks naam is niet met zekerheid te zeggen. Misschien betekent zijn naam ‘de zeer geliefde’. Anderen denken dat zijn naam ‘omarmer’ of ‘omhelzer’ betekent. Het boek is waarschijnlijk geschreven door Habakuk rond 650-627 (of enkele jaren later) voor de gangbare jaartelling.

De kunstenaar ziet in de vorm van Habakuk een grenswachter die is opgesteld tussen de sacrale ruimte van het hooggelegen kerkhof en de profane wereld daaronder. Voor de vormgeving van het beeld is hij geïnspireerd door de beelden op Paaseiland.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=409"
"Sculptuur","1987","Adri Verhoeven","Kanunnik Mijllinckstraat/Kanunnik Pelsstraat",51.8143063,5.86169456,"Dit beeld is gemaakt uit Belgische hardsteen. De materiaalkeuze speelt in het werk van Adri Verhoeven altijd een belangrijke rol. Hij werkt meestal met steen. Vooral de beslotenheid van dit materiaal is voor hem een belangrijk gegeven. De steen waaruit het kunstwerk bestaat woog aanvankelijk 9000 kilo. In een steengroeve in België is de steen doorgezaagd. Adri Verhoeven heeft daarna de steen zelf verder bewerkt. Het uiteindelijke gewicht is nu 3500 kilo. De afmetingen zijn 205 bij 100 centimeter. Het beeld is abstract en heeft een driehoekig geschuurde buitenkant en een ruwe afgeronde binnenkant.","particulier","www.adriverhoeven.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=410"
"Objecten","1987","Boudewijn Corstiaensen","Groenewoudseweg 322",51.830438,5.8602802,"Doornroosje is het poppodium voor alternatieve muziek in Nijmegen. Bezoekers uit heel Nederland komen om optredens te zien. In 2006 werd Doornroosje verkozen tot de beste 'nachttempel' van Nederland. De voornaamste reden voor de uitverkiezing was de 'progressieve programmering en zeer eigen gemêleerde ambiance'.

De buitenkant van het gebouw is kleurrijk en voorzien van talloze muurschilderingen en graffiti.
De objecten van de Nijmeegse kunstenaar Corstiaensen sluiten hier bij aan. De vrije vormen lijken een spel te spelen met het gebouw; ze richten zich vanaf de begane grond naar de bovenkant van het gebouw. Ze zouden een ruimtelijke variant op de schilderingen op het gebouw kunnen zijn.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=411"
"Pelikaan","1987","Ben van Pinxteren","Bart Hendriksstraat",51.8292372,5.87779327,"De politiemensen Albert Marcusse, Herman Oolbekkink, Bart Hendriks en Wim Beerman werden tijdens de Tweede Wereldoorlog in de duinen van Overveen gefusilleerd. Deze Nijmeegse verzetsmensen hebben ieder een 'eigen straat' in de verzetsbuurt in Nijmegen-Oost. In september 2006 kwam hier een vijfde straat bij, vernoemd naar Cees de Jong. Cees de Jong was eveneens een verzetsstrijder, die samen met de genoemde politiemannen door de Duitsers op 6 juni 1944 werd omgebracht.  Ieder jaar wordt de executie van deze mensen herdacht door de Nijmeegse politie.  
Bij het 20-jarige bestaan van de wijk in 2006 werd op een muur in de nabijheid van het monument een mozaïektableau aangebracht, met als thema 'vrijheid' en met de pelikaan als centrale figuur.

'Pelikaan' is gemaakt uit hardsteen en 140 cm hoog. In de sokkel staan de namen van de verzetsmensen. De kunstenaar koos voor de pelikaan omdat deze vogel in de christelijke traditie symbool is voor zelfopoffering. Onder haar brede vleugels biedt zij haar kroost bescherming. In geval van nood pikt zij zich in de borst en voedt zij haar kroost met eigen vlees en bloed.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=413"
"Sculptuur","1987","Leo Hutjens","Barbarossastraat/Reinaldistraat",51.8446202,5.87654129,"Dit kunstwerk, dat door de bewoners van de wijk ook wel gekscherend 'De Rog' wordt genoemd, bestaat uit vier roestvrijstalen gebogen platen die een organische vorm tonen.

Dit beeld staat samen met een aantal andere beelden in het plantsoen bij de Barbarossastraat. Dit plantsoen is, als tegenhanger voor de omringende gebouwen, als parkje ingericht.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=415"
"Tegelwand","1988","Jos Rutten","Mariënburg 59",51.844810,5.867454,"Cinemariënburg is de huidige naam van het oude filmhuis Nijmegen; tegenwoordig maakt het deel uit van arthouse LUX. LUX is het huis voor internationale cinema, debat en theater & muziek. Lux zetelt in het zogenaamde Poortgebouw. Dit is een creatie van architect Jos van Eldonk. Het Poortgebouw heeft een prominente plaats in het Mariënburgproject, de ingrijpendste naoorlogse stedenbouwkundige ingreep in het Nijmeegse centrum.

Op de zijkant van Cinemariënburg (een voormalig bankgebouw) bevindt zich het kunstwerk van Jos Rutten.
De wand is bekleed met geglazuurde tegels in een overwegend azuurblauwe kleur. Het abstracte patroon in de wand sluit aan bij de architectuur van het gebouw.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=416"
"Zuil","1988","Peter van de Locht","Professor Huijbersstraat",51.831617,5.864357,"De sculpturen van Peter van de Locht in Nijmegen zijn de eerste sculpturen, waarmee de kunstenaar naar  buiten trad, nadat hij naar Nederland was gekomen in 1969. Hij beschrijft ze als volgt:
'Deze sculpturen weerspiegelen mijn toenmalige betrokkenheid tot sculptuur als een verstoffelijking van een aantal vormgedachten over de lichamelijkheid van de vorm, het positief-negatief verschijnsel, het ritme, de richtingen (Axialiteit), de hierarchie, de oppervlakte.'
De titels van de sculpturen verwijzen naar dit onderzoek.","gemeente Nijmegen","www.pvandelocht.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=418"
"Sculptuur","1988","Christiaan Paul Damsté","Hobbemastraat/Ruysdaelstraat",51.831617,5.864357,"In 1984 dachten bewoners van de Ruysdaelstraat en de Hobbemastraat na over de invulling van het pleintje. Zij stelden de gemeente voor om een kunstwerk te plaatsen. 
De gemeente gaf vervolgens Christiaan Paul Damsté de opdracht een ontwerp te maken. De opgave die aan de kunstenaar werd meegegeven was dat hij uitdrukking zou geven aan het pleintje als speel- en ontmoetingsplaats.
Het beeld is gemaakt van donker graniet. Het materiaal is deels glad gepolijst en deels ruw gelaten.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=419"
"Sculptuur","1988","Peter Dekkers","Leuvensbroek 12-00",51.8315866,5.7806303,"Dit beeld in rode graniet is van beeldhouwer Peter Dekkers. Het zijn twee identieke vormen die tegenover elkaar zijn geplaatst De sokkel is uit hetzelfde materiaal gemaakt en maakt daarmee onderdeel uit van de sculptuur.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=420"
"Cohesie","1988","Oscar Goedhart","Einsteinstraat",51.813195,5.844276,"De plastiek van Goedhart beeldt 'cohesie' (samenhang) uit. De plastiek bestaat uit drie organische vormen. Twee ervan grijpen in elkaar en worden omstrengeld en bij elkaar gehouden door een derde. Met dit vormenspel komt niet alleen het begrip 'samenhang' tot uitdrukking. Het beeld vertoont ook een spanningsveld. Afhankelijk van de verschillende posities van waaruit het beeld bekeken kan worden, zijn twee begrippen zichtbaar: 'harmonie' en 'strijd'. 

Goedhart wil met dit beeld de balans tussen de verschillende stedelijke elementen weergeven, zoals de bebouwing, de dynamiek en het verkeer.

Het beeld heeft in de stadhuistuin gestaan. Bij de herinrichting van het project Mariënburg, waarbij onder andere de Marikenstraat werd aangelegd, werd het beeld van die plek 'verdreven' en verplaatst naar deze locatie.","gemeente Nijmegen","www.oscargoedhart.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=422"
"Blauwe Fontein, Stroming","1988","Ed van Teeseling","Groenestraat 336",51.8318468,5.84359527,"Dit beeld van Ed van Teeseling werd gemaakt in opdracht van Smit Transformatoren. De titel van het beeld staat in relatie tot het product dat wordt vervaardigd door deze fabriek: vermogenstransformatoren voor de distributie en opwekking van elektrische energie. Het beeld is gemaakt uit plaatstaal.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=423"
"Sculpturen en omgevingsvormgeving","1989","Hans van Lunteren","Daalsedwarsweg/Groesbeeksedwarsweg",51.8386533,5.87121309,"Het pleintje aan de driesprong van de Groesbeeksedwarsweg, de Daalsedwarsweg en de Fort Kijk in de Potstraat was in de jaren '80 aangelegd om de snelheid van het autoverkeer over de Groesbeeksedwarsweg in te perken. Het plein werd vervolgens afgebakend met een knie-hoog muurtje, waardoor er een klein speelplaatsje ontstond. De kunstenaar Hans van Lunteren werd gevraagd om voor deze ruimte een kunstwerk te ontwerpen. 

Het kunstwerk bestaat uit twee delen. Er is een hardstenen monoliet waarmee de kunstenaar wil verwijzen naar de oude situatie. De Groesbeekseswarsweg was altijd een doorlopende weg. Op de plek waar de steen nu staat, maakte hij een flauwe bocht. Als gevolg van de aanleg van het plein is de weg letterlijk in tweeën gehakt. Deze steen op deze plek benadrukt dat. Maar tegelijkertijd herinnert dit object toch ook aan de oude situatie. Om dit tot uitdrukking te brengen heeft de steen diagonale, naar binnen gerichte lijnen. 
Het andere object is kleiner en is van staal gemaakt. Dit object is als het ware het spiegelbeeld van het hardstenen element en heeft naar buiten gekeerde hoeken. Ze vullen elkaar als vorm aan.","gemeente Nijmegen","www.hansvanlunteren.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=424"
"Sculptuur","1989","Gerard Walraeven","Gerstweg (Philipsterrein)",51.8245501,5.81831688,"Dit kunstwerk is samengesteld uit 3 onderdelen; twee lange smalle platen liggen gedrapeerd over een derde  'drager'. Het zware harde materiaal van het cortenstaal (staal met een bruine roestende oppervlaktelaag) wekt hier de indruk van soepelheid en zachtheid. 
Gerard Walraeven werkte graag met dit materiaal. Het is een staalsoort die in feite wordt beschermd door een laag roest. De meningen over deze materiaalsoort lopen uiteen. Velen zien roest als verval en achteruitgang. Gerard Walraeven daarentegen zag in dit materiaal een verwijzing naar behoud en bescherming.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=428"
"Sculptuur","1989","Sigurdur Gudmundsson","Prins Bernhardstraat (Julianapark)",51.8393918,5.86793882,"Dit beeld van Sigurdur Gudmundsson werd gelijktijdig met twee andere beelden (van Auke de Vries en Carel Visser) in dit park geplaatst. Daarmee kreeg het Julianapark de sfeer van een beeldenpark.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=429"
"Japans Wandelmonument","1989","Onbekend","Waldeck Pyrmontsingel (Julianapark)",51.840657,5.866656,"Nijmegen heeft door de Vierdaagse contact gekregen met de Japanners. Ieder jaar kwamen er via de KNBLO gasten uit Japan, dat resulteerde in een vriendschapsband met de gemeente Nijmegen en de stad Higashimatsuama. In 1989 werd dit verband in een contract vastgelegd en aangeboden aan de stad Nijmegen. Het bestaat uit een monument met twee 'armen', waarop de vlaggen van Nederland en Japan te zien zijn. In Japan, in de stad Higashimatsuama, vindt sindsdien een driedaags wandelevenement plaats waar ieder jaar Nederlanders en Nijmegenaren aan meedoen. Het getal vier brengt ongeluk in Japan. Vandaar dat hier een 'Driedaagse' georganiseerd wordt.

De maker is waarschijnlijk een Japans kunstenaar.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=430"
"Minuendo intellego","1989","Marius van Workum","d'Almarasweg (Botanische Tuin)",51.819807,5.874323,"'Door te verkleinen, begrijpen' is de letterlijke vertaling van de titel van dit kunstwerk.
Het is gemaakt van aluminium en meet 235 x 316 x 14 cm.
Marius van Workum is bij dit kunstwerk uitgegaan van de vormen in de botanische tuin. Met name de vijver, die de vorm heeft van een nier 'binnen de buikinhoud van een onbekend wezen', aldus de kunstenaar. De opbouw van de botanische tuin is 'in wezen een verkleining van een stuk aarde', waarbij hij de vijver ziet als de zee en de rotsheuvel als bergen. Het beeld is opnieuw een verkleining, maar dan van de tuin. Er is een stukje van de tuin omcirkeld. Binnen die circel ligt een eilandje, dat de vorm heeft van een nier. Het kunstwerk laat de toeschouwer met andere ogen naar de botanische tuin kijken.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=433"
"Hommage aan Bernini","1987","Gerard Bruning","d'Almarasweg (Botanische Tuin)",51.8209069,5.87431887,"Dit kunstwerk werd in 1988 aangekocht door de gemeente Nijmegen. 

Gianlorenzo Bernini was een beeldhouwer uit de zeventiende eeuw ten tijde van de Barok. Deze kunstenaar slaagde erin de figuren in zijn werk zodanig in een actieve houding of beweging voor te stellen, dat de toeschouwer zich erin betrokken voelt. Met dit beeld brengt Bruning zijn waardering voor deze kunstenaar tot uit uitdrukking.

Het beeld werd in 1990 geplaatst in de Botanische Tuin, ondanks het feit dat die tuin toen eigendom van de Radboud Universiteit was. Deze locatie werd gekozen omdat de hier aanwezige natuur een prachtige entourage voor het beeld vormde.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=437"
"Sculptuur","1993","Jan Samsom","Daalseweg (rotonde bij het Badhuis)",51.8375610,5.87647916,"Dit beeld bestaat uit twee parallelle betonnen palen van vier meter hoog. De een is antraciet, de ander wit. Bovenin beide palen is een ovaal uitgesneden en dat ovaal wordt gesloten door een stalen boog. Dwars door beide ovalen heen steken twee stalen staven met aan weerszijden een ring van glas en staal. Op de ene glazen plaat staat een zeefdruk van Moenen. Op de andere is Mariken te zien.

Jan Samsom kreeg de opdracht dit kunstwerk te realiseren in het kader van de 1%-regeling. (Bij de aanleg van de rotonde en de reconstructie van de Daalseweg werd een percentage van het investeringsbedrag gereserveerd voor de toepassing van kunst.) De aanwezigheid van het theater in het Badhuis bracht de kunstenaar ertoe een onderwerp uit de ontwikkeling van het Nederlandse theater te verwerken in zijn opdracht. Hij koos voor een verwijzing naar Mariken en Moenen die staan voor respectievelijk 'het goede' en 'het kwade'. Beide begrippen zijn in dit kunstwerk in evenwicht gebracht. Het is geen toeval dat het beeld de gedachte aan een soort weegschaal oproept.
Daarnaast is het verhaal van Mariken onlosmakelijk verbonden met de stad Nijmegen.  
Het vertelt de geschiedenis van Mariken die, na door de duivel ( Moenen) te zijn verleid,  jarenlang een losbandig leven leidt in Antwerpen. Terug in Nijmegen ziet zij  een wagenspel, waarin wordt duidelijk gemaakt dat iedereen vergeving van God kan krijgen voor zijn of haar zonden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=451"
"Tegelwand","1992","Titus Nolte","Leuvensbroek 30-00 (Lindenholt College)",51.8315364,5.77787936,"De kwaliteiten van Titus Nolte als grafisch kunstenaar komen in dit kunstwerk sterk naar voren. Het kunstwerk bestaat uit een grote blauwe wand, die ietwat naar binnen toe buigt. Op de grote wand zijn tegels aangebracht in verschillende kleuren blauw en geel. Het geheel doet sterk denken aan de combinatie van pixels waaruit een foto bestaat die op een computer te zien is. Op afstand wordt duidelijk dat een hand is voorgesteld.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=452"
"Tobias met de vis","1964","Albert Termote","O.C. Huismanstraat (vijver bij winkelcentrum Notenhout)",51.8308137,5.81488129,"In 1964 werd het beeldje Tobias met de vis van Albert Termote geplaatst in het winkelcentrum 'Notenhout' in Neerbosch-Oost. Helaas werd het beeld vernield. Maar het wijkopbouworgaan zorgde ervoor dat Tobias met de vis na 10 jaar weer werd teruggeplaatst. In 1979 kreeg het beeldje een plaats in de vijver om te voorkomen dat het opnieuw zou worden vernield. 

'Tobias met de vis' is een thema uit het Oude Testament.
Tobit, de vader van Tobias, stuurt zijn zoon op pad om een schat uit Medië te halen. Op zijn reis krijgt Tobias gezelschap van de aartsengel Rafaël. 
Met hulp van Rafaël brengt Tobias zijn vaders schat naar huis. Met de gal van een vis die hij samen met Rafaël heeft gevangen, geneest Tobias zijn vaders blindheid. Een deel van de schat wordt in de vorm van aalmoezen weggegeven.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=500"
"Mijn liefde neemt de vormen van het vliegen aan","1995","Jerome Symons","Niek Engelschmannlaan",51.817184,5.837828,"De straten van de Emancipatiebuurt zijn genoemd naar voorvechters van de vrouwenemancipatie en voorvechters van de homo-emancipatie. 
Het kunstwerk van Jerome Symons heet dan ook 'Emancipatiemonument'.

Jerome Symons maakte een beeld, geïnspireerd op Tibetaanse klankschalen. 
Tibetaanse klankschalen zijn gemaakt van 7 metalen: ijzer, koper, tin, goud, zilver, lood en kwik. Bij een goede schaal hoor je verschillende toonlagen lange tijd in harmonie doorklinken.
 
In een van beide schalen zijn vormen van wolken uitgefreesd. In de tweede schaal een dichtregel van Elly de Waard: 'Mijn liefde neemt de vormen van het vliegen aan''. 
Jerome Symons brengt in dit werk het verlangen naar 
tolerantie en begrip tot uitdrukking.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=501"
"Blokken","1978","Peter Struycken","Wijchenseweg (rotonde Bijsterhuizen)",51.8243449,5.75744155,"Dit monumentale, architectonische werk bestaat uit drie grote blokken met verschillende kleuren (afgeleid van blauw-grijs, aubergine en karmijn). De kubusvormen wekken de indruk dat ze deels in de grond verzonken zijn. De blokken zijn gemaakt met behulp van een stalen kooiconstructie, die is afgedekt met profielplaten. 
Van 1983 tot 1990 hebben de blokken op het Takenhofplein te Nijmegen gelegen en in 1995 zijn ze herplaatst in Bijsterhuizen.
In 2009 is het werk schoongemaakt en voorzien van de oorspronkelijke kleuren.

In dit werk komt Struyckens fascinatie tot uiting voor vorm- en kleurverhoudingen en voor wetmatige verhoudingen tussen afzonderlijke elementen.
De afmeting, de kanteling, de richting en de kleur van de blokken zijn  berekend en bepaald met behulp van het computerprogramma Blocks van de TU van Delft. In het computerprogramma werden gegevens ingevoerd, die zijn afgeleid uit de oorspronkelijke omgeving van het toekomstige kunstwerk (maten van de omliggende boerderijen, etc.). Het kunstwerk meet op het hoogste punt 14 meter en is over de gehele breedte 68 meter lang.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=502"
"Sculptuur","1991","Auke de Vries","Prins Bernhardstraat (Julianapark)",51.8399642,5.86749486,"Als we naar dit kunstwerk kijken zien we duidelijk grafische lijnen terugkomen. De 'lijnen' zijn vervaardigd uit stalen vormen en stalen staven.

Deze sculptuur staat in een park. Door vorm en kleur gaat dit beeld op in zijn natuurlijke omgeving.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=503"
"Sculptuur","1991","Carel Visser","Prins Bernhardstraat (Julianapark)",51.839415,5.868557,"Carel Visser is één van Nederlands belangrijkste naoorlogse beeldhouwers. Hij is een constructivist. Dat betekent dat hij een voorkeur heeft voor construeren, stapelen en bouwen. Dit kunstwerk verraadt deze voorliefde. Het is een bronzen sculptuur die weliswaar uit meer elementen is opgebouwd maar toch één totaalindruk maakt. De sokkel, die relatief groot is, bestaat uit beton met een kartelrand.

Visser wilde bij het maken van dit beeld voor Nijmegen iets realiseren dat in staat zou zijn passanten in deze natuurlijke omgeving te interesseren. Iets compacts. 'Je zou kunnen denken aan datgene wat je soms uit een ei ziet kruipen, wat nog nat is en wat piept, wat rondscharrelt en waar je van hoopt dat het goed gaat.'","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=504"
"Zonder titel","1991","Hieke Luik","In opslag",51.818154,5.817281,"Hieke Luik, de kunstenaar die dit beeld ontwierp en uitvoerde, maakt kunstwerken die vaak over 'droombeelden' gaan.
Deze sculptuur van hardsteen heeft een tafelvorm. 

In het verlengde van het smalle pad van de entree van basisschool de Waterbies, voor het kleuterlokaal, is een klein pleintje waarin centraal een hardstenen tafel staat waarin twee 'oor-achtige' vormen op een tekenachtige manier zijn uitgehakt. De lijnen vertrekken vanuit 2 heel kleine sculpturen in brons die aan de tafel zijn verankerd. In het laagste punt van de uitgehakte vormen zijn 2 gaten gemaakt.
Het beeld is gemaakt in opdracht van de school, als een uitnodiging om te spelen, ontdekkend en lerend spelen. Tegelijkertijd is het een ontmoetingspunt voor kinderen en ouders.","particulier","www.hiekeluik.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=505"
"Monument voor Steve Biko","1992","Arnaud Beerends","Steve Bikoplein",51.8165778,5.80241350,"In het kader van de herdenking van de strijd tegen het apartheidsbeleidsregime in Zuid-Afrika besloot de gemeenteraad om het voormalige Valkenaersplein te vernoemen naar Steve Biko. Dit was een verzetsstrijder, die zijn leven gaf voor de vrijheid van de zwarte Zuid-Afrikanen. Op 12 september 1977 stierf hij in een politiecel door langdurige marteling.

De gemeente wilde deze strijder gedenken met een kunstwerk. In de kunstopdracht werd meegegeven dat het beeld op beeldende en integere wijze inhoud moest geven aan de naamgeving van het plein. Er werd een openbare inschrijving georganiseerd voor geïnteresseerde kunstenaars. Van alle inzendingen werden drie kunstenaars uitgekozen om een getekende motivatie in te dienen. Arnaud Beerends werd uiteindelijk gevraagd om het beeld te realiseren. 

Op het plein is op een tafel liggende, geknakte, maar wel brandende fakkel te zien. De fakkel symboliseert de strijd van alle groepen die in het nauw zitten, maar die zich proberen vrij te vechten. Het doel van het beeld is de toeschouwer stil te laten staan bij het recht op vrijheid en democratie.

Het situeren van een beeld op het Steve Bikoplein was geen eenvoudige opgave. Het plein kent namelijk geen centrale plaats door de aanwezigheid van een restant van een oude bomenlaan. Bovendien bevond zich op de rotonde nog een ander kunstwerk: een beeld van Arthur Spronken.","gemeente Nijmegen","www.beerends.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=507"
"Observatietoren","1992","Ronald Tolman","Van Schuylenburgweg hoek Van Rosenburgweg (voorheen Voorstadslaan,terrein van De Gelderlander)",51.821837,5.792257,"Kunstenaar Ronald Tolman ontwierp 'Observatietoren' oorspronkelijk voor het (voormalige) Gelderlanderterrein aan de Voorstadslaan in Nijmegen. Hij heeft zijn inspiratie voor dit beeld ook uit deze plek gehaald. Hij heeft de hijskraan in de haven willen verbeelden en tegelijkertijd een soort boomhut willen weergeven. Vanaf de wielen steken metalen pijpen de hoogte in, waardoor zoiets als een plateau ontstaat. Van hieruit lijk je verder te kunnen klimmen, zodat je de wereld kunt observeren. De knalrode constructie van 15 meter hoog heeft van 1992 tot 2011 bij De Gelderlander gestaan. Met de aankoop van het terrein werd de gemeente Nijmegen ook de nieuwe eigenaar van het kunstwerk. Het kunstwerk kon niet blijven staan op de oorspronkelijke locatie. De gemeente Nijmegen is samen met De Gelderlander, oud-eigenaar van het werk, op zoek gegaan naar een nieuwe locatie. Vanuit Dukenburg was eerder het verzoek gekomen om meer kunst in de wijk te realiseren. Uiteindelijk is samen met bewoners van Dukenburg een nieuwe kunstlocatie gevonden aan de Van Schuylenburgweg.

Bijnamen voor dit beeld ontstonden al snel: variërend van 'Observatiepost' tot 'Boomhut'.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=508"
"Pierson-monument","1988","Ronald Tolman","Piersonstraat",51.8453301,5.86203334,"Dit beeld bestaat uit drie worstelende mensen. Ronald Tolman werd in 1986 benaderd om een monument te maken ter herinnering aan 'de Piersonrellen'. Tolman ging aan de slag om deze weinig verheffende periode uit de Nijmeegse geschiedenis te symboliseren. De krakers wilden graag een eenhoorn in het ontwerp terugzien. Dit was de naam van het kraakpand dat een cruciale rol speelde in de affaire. Tolman vond dit een lastige opgave. Uiteindelijk zijn het deze drie figuren geworden. 

De bewoners van de binnenstad hebben zich destijds ingezet om hier een monument te krijgen. Toen de oude woningen van de Piersonstraat werden afgebroken om een parkeergarage te vestigen, braken er heftige protestacties uit. Door deze acties heeft de gemeente de plannen heroverwogen en zijn er uiteindelijk aan de Piersonstraat, Ziegelhof en Karrengas woningen neergezet. Om deze roerige periode te gedenken, heeft Tolman de drie strijdende partijen 'stoeiend' neergezet: de politie, de politiek en de actievoerders. De drie figuren zijn inwisselbaar.
Ondanks de actieve houding van de figuren is het een verstild beeld geworden. Het is uiteindelijk een versmelting geworden van actualiteit en artisticiteit, een verzoenend beeld van een vreedzame worsteling. 

Het kunstwerk markeert de afronding van een stuk stadsvernieuwing in dit binnenstadgebiedje. Tegelijkertijd herinnert het aan de bewogen voorgeschiedenis van dit stadsvernieuwingsproject. Ook het rode figuurtje dat op de muur is gespoten is een overblijfsel uit deze tijd; de maker hiervan is uiteraard anoniem gebleven...","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=509"
